주소,간이약도,관리자,Tel,위도lon,경도lat
서울특별시 서대문구 세검정로 90-15 경찰청 세검정로 별관 (홍제동),경찰청 세검정로 별관(보안3과) 로비 좌측(건물 입구 기준),김성희,0231502649,37.5956599449,126.9499776468
광주광역시 남구 오방로 34-13  (방림동),숭의중학교 체육관,송용성,01036436684,35.1276598628,126.9230554634
대구광역시 달서구 월배로28길 80 1층 중앙현관 (진천동),1층중앙현관,김미향,0532347558,35.8136129580,128.5321557681
"대전광역시 중구 선화로 17, 서대전초등학교 (용두동)",1층 중앙현관,오승효,042-255-9937(400),36.3266767312,127.4106053684
대전광역시 유성구 덕명로56번길 199 3층 본관동 (덕명동),"대전광역시 유성구 덕명로56번길 199, 3층 본관동 (덕명동)",손현길,042-610-2982,36.3510271154,127.307094673
"경상북도 김천시 부곡길 206  (부곡동, 부곡우방타운)",관리사무소 출입구,박영범,054-433-5199,36.1245064819,128.0988648401
경기도 구리시 원수택로 25 옥천경로당 (수택동),경로당 시계 밑 벽면,김한정 회장,031-556-1598,37.5946834764,127.1395298923
세종특별자치시 세종시 세종특별자치시 조치원읍 오봉로 51-5,봉산2리 경로당,이주영,044-301-5171,36.5989663197,127.275409154
서울특별시 구로구 경인로20가길 38 오류문화센터 (오류동),3층 복도,이자연,02-2614-7962,37.495357487,126.8460357988
경상북도 영양군 석보면 원리3길 3,석보면사무소,황진성,054-680-5195,36.5580530763,129.1247224067
강원도 평창군 대관령면 올림픽로 715 피크아일랜드 3층 의무실,피크아일랜드 물놀이 시설,서유림,033-330-8334,37.6551363873,128.7038011422
경기도 안양시 동안구 평촌대로 389 실내수영장 (비산동),실내수영장,한경림,031-389-5234,37.4061878947,126.9489902146
"부산광역시 강서구 명지국제7로 110  (명지동, 더 에듀 팰리스 부영)",관리동 출입구,윤상덕,010-3569-9699,35.0959305459,128.9130867569
제주특별자치도 제주시 선덕로5길 37  (연동),중앙현관,보건교사-김혜영,064-728-0800,33.4866261685,126.5004890107
전라북도 고창군 흥덕면 후포후동길 3-10 후포보건진료소,후포보건진료소,조윤정,010-6412-5441,35.5505286869,126.6784522523
서울특별시 강서구 마곡중앙로 150  (마곡동),지하1층 통합관제실 내,방명오,02-6924-5530,37.5669953221,126.8285204897
경상남도 창원시 마산회원구 내서읍 경남대로 927,지하1층매장 도와센터앞,장용희,01028601746,35.2330266560,128.5040709797
"경기도 구리시 동구릉로85번길 17 아름원일경로당 (인창동, 아름마을원일아파트)",경로당 입구 왼쪽 벽면,임안수 회장,031-567-0876,37.6097827881,127.1312179561
경기도 구리시 경춘로227번길 44 동인경로당 (인창동),경로당 에어컨 밑 벽면,김영순 회장,031-569-1779,37.6018782695,127.1384380712
경기도 구리시 동구릉로 48 배탈고개경로당 (인창동),경로당 창가 옆 벽면,손성훈 회장,031-567-7885,37.6043848590,127.1337180357
"경기도 구리시 원수택로32번길 59-33 수늪1,2경로당 (수택동)",경로당 안 벽면,최미혜 회장,031-563-4212,37.5937299349,127.1442702353
"경기도 구리시 아차산로487번길 10 교문금호경로당 (교문동, 금호어울림아파트)",경로당 벽면,이삼추 회장,031-554-4321,37.5987495591,127.1293233422
"경기도 안산시 단원구 석수로 138  (선부동, 안산 메트로타운 푸르지오힐스테이트)",아파트 관리사무소 내,김남오,031-487-7141,37.3489400831,126.8054519736
경기도 용인시 기흥구 용구대로 1920 아모레퍼시픽 비전하우스 (보라동),아모레퍼시픽 비전하우스,권승렬.장재욱,031-280-5660,37.2594859505,127.1060780159
"서울특별시 중랑구 신내로19길 42  (신내동, 신내6단지신내아파트)",606동엘리베이터 앞,박재명,010-8717-1202,37.6141021239,127.0910356091
"서울특별시 중랑구 신내로19길 42  (신내동, 신내6단지신내아파트)",608동엘리베이터 앞,박재명,010-8717-1202,37.6141021239,127.0910356091
"서울특별시 중랑구 신내로19길 42  (신내동, 신내6단지신내아파트)",610동엘리베이터 앞,박재명,010-8717-1202,37.6141021239,127.0910356091
"경상북도 경주시 태종로 416, 선도동주민센터 (충효동)",주민센터 내,최성희,054-779-8429,35.8436172879,129.1748514677
대구광역시 수성구 유니버시아드로 365  (욱수동),6층 간호사스테이션 ,배은귀,053-819-2004,35.8288963918,128.7103634661
서울특별시 마포구 마포대로11길 44-81 아현문화건강센터 (아현동),아현문화건강센터 지하1층 로비,염기진,02-362-9171,37.5521280348,126.9512968749
충청남도 공주시 반포면 반포초교길 253,55병동 간호사실 ,최병익,041-840-5431,36.4122548681,127.2382950823
전라북도 정읍시 상동중앙로 14  (상동),정읍 청소년문화체육관,문태근,063-535-0305,35.5581952799,126.8668842185
경상북도 영양군 수비면 한티로 503,수비면행정복지센터,김은정,054-680-5195,36.7652222046,129.2025629472
인천광역시 계양구 경명대로 990 인천교통연수원 (계산동),인천교통연수원 1층 강의실 앞,서호성,554-8011,37.5432820383,126.7167145772
인천광역시 서구 청라에메랄드로 139  (청라동),후관5층,이은영,032-628-8376,37.5377499531,126.6556954140
광주광역시 남구 제석로 73  (봉선동),문성고등학교 강당앞,이상미,0626707643,35.1204577619,126.9049873740
인천광역시 중구 공항로 271 인천국제공항공사 (운서동),제1여객터미널 교통센터 지하1층 철도안내데스크 옆,최미애,032-741-5738,37.4492706090,126.4521668926
"경상북도 포항시 남구 상도남로 25  (상도동, 포항 상도 코아루 센트럴 하임)",경비실 옆,관리소장,0542729399,36.0084782321,129.3452306782
부산광역시 강서구 공항로811번길 10  (대저2동),1층 진료실 앞 복도,윤영,051-970-3450,35.1802351507,128.9572976674
세종특별자치시 세종시 세종특별자치시 금남면 바람재로 125,축산리 마을회관,원유빈,044-301-5514,36.4416871337,127.3005230266
제주특별자치도 제주시 제주대학로 102  (아라일동),학생생활관6호관 F동,장준봉,064-759-9421,33.4572368014,126.5642957241
"경상북도 경주시 경감로 593, 보덕동주민센터 (천군동)",보덕동주민센터,손영경,054-779-8527,35.8346996532,129.2874422876
"경상북도 경주시 금성로 370, 성건동주민센터 (성건동)",주민센터 내,손정민,054-779-8369,35.8508058440,129.2073518442
세종특별자치시 세종시 세종특별자치시 금남면 용포중앙1길 16,용포3리 복지회관,원유빈,044-301-5514,36.4650707472,127.282708863
"충청북도 충주시 봉계1길 49, 충주공용버스터미널 2층 (칠금동)",2층 고객 센터,정학진,043-841-2500,36.9815985419,127.9143680305
"서울특별시 강동구 아리수로94길 72  (강일동, 강일리버파크8단지아파트)",2층 관리사무소,정의홍,02-429-1147,37.5607209460,127.1762685393
대구광역시 북구 팔거천동로 147 3호선 동천역 (동천동),대합실 내,김상식,053-640-7381,35.9377071588,128.5566386390
강원도 영월군 영월읍 하송로 46-43 치매안심센터,치매안심센터 로비,정영희,010-8795-4585,37.1854468820,128.4616106772
대구광역시 북구 구암로21길 54 별관 2층 연결통로 내 (읍내동),별관 2층 연결통로 내,신정숙,053-233-3442,35.9372103756,128.5543639644
부산광역시 서구 부용로 30  (부용동2가),보건소 4층(부민노인복지관),전영애,010-9700-7098,35.1074362276,129.0180372589
"경상남도 거제시 양정5길 36 관리사무소 (양정동, 거제아이파크1차)","관리동 복도(지하2ㅊ,ㅇ)",홍성,055-636-0335,34.8736549726,128.6486141989
경기도 가평군 상면 물골길 262-23 가평푸른숲요양병원,병원 현관 입구,박송이,010-2356-0205,37.8408575221,127.3042283768
서울특별시 동대문구 답십리로 141 래미안미드카운티아파트 관리사무소 (답십리동),104동 105동 사이 지하1층 커뮤니티센터,한나리,010-8650-3950,37.5733237497,127.0553504679
강원도 춘천시 칠전동길 49-6  (칠전동),차량등록사업소 본관 민원실 입구,민성은,033-250-3245,37.8429003198,127.7149414752
전라남도 영암군 금정면 용두로 11-23 금정보건지소,금정보건지소,주무관,061-470-2673,34.8620147788,126.7484915281
전라남도 영암군 도포면 호산로 39 도포보건지소,도포보건지소,주무관,061-470-2676,34.8448736775,126.6436750011
전라남도 영암군 시종면 금지로 65 월악보건진료소,월악보건진료소,서경자,,34.9056681039,126.6247329054
경기도 안양시 동안구 관평로336번길 23 관양초등학교 (관양동),1층중앙로비(B동),윤진화,031-340-4073,37.4067084937,126.9602283111
경상북도 구미시 고아읍 문성로 30  (서희스타힐스),관리사무소 앞 복도,김윤원,054-441-6656,36.1530224731,128.3454038344
서울특별시 구로구 고척로1길 34 오류지구대 (오류동),오류지구대 1층 관리반 자리 ,정휴상,02-2612-6112,37.4948144949,126.8388403948
부산광역시 연제구 과정로164번길 38  (연산동),민원실내 ,우유리,051-665-5937,35.1859031592,129.1093798215
부산광역시 남구 신선로 349-4  (용당동),주민센터 출입구 옆,윤수용,051-607-3522,35.1176460436,129.0950537774
충청남도 공주시 반포면 동학사1로 327-6 계룡산국립공원사무소,계룡산국립공원사무소 내부 복도,이용우,042-825-3002,36.3566277209,127.232559222
"충청남도 천안시 서북구 성성6로 21  (성성동, 천안시티자이)",관리사무소,이찬희,01064241830,36.8419559922,127.1221316144
"대구광역시 북구 내곡로 70  (사수동, 대구금호스타힐스엔에이치에프6단지)",관리사무소 내,송성은,01058117979,35.9012175197,128.5124086844
"경상남도 김해시 인제로 197, 인제대학교 (어방동)","인덕재, 학생생활관 1층",임기곤,0553203057,35.2532602408,128.9005374806
서울특별시 동작구 현충로 100-1  (흑석동),커뮤니티센터,김동우,02-827-0190,37.5096299945,126.9622051185
서울특별시 중랑구 신내로15길 175  (신내동),1층 사무실내 ,강은영,02-3421-7800,37.6148108851,127.0878877553
서울특별시 중랑구 망우로65길 20  (신내동),2층 로비,박제홍,02-2088-7903,37.6012540125,127.0999480035
서울특별시 강동구 양재대로 지하 1480  (길동),지하2층 대합실,곽노길,6311-5491,37.5378120982,127.1399986397
인천광역시 중구 공항로 271 인천국제공항공사 (운서동),제1여객터미널 3층  H ~ J,최미애,032-741-5738,37.4496323942,126.4524656202
세종특별자치시 세종시 세종특별자치시 조치원읍 행복길 21,침산2리 경로당,이주영,044-301-5171,36.6035512711,127.2920831812
울산광역시 동구 해수욕장10길 7  (일산동),일산해수욕장 행정봉사실 내,박창균,052-209-3353,35.4957703714,129.4306159882
충청남도 계룡시 엄사면 번영3길 30 엄사초등학교,엄사초등학교 2층 로비,이희숙,01050983922,36.2866327130,127.2372090760
"경상남도 김해시 인제로 197 장영실관, 1층 (어방동)",장영실관 1층 로비 종합상황실 입구,김건형,0553203057,35.2493593217,128.9021821500
서울특별시 강동구 천호대로 지하 997  (천호동),지하1층 원형광장,박명남,6311-5471,37.5385798824,127.1237430017
강원도 춘천시 신북읍 신북로 262,농업기술센터 1층 로비 ,이윤철,033-250-4182,37.9492945808,127.7505172049
"인천광역시 미추홀구 낙섬동로 135  (용현동, 엘에이치미추홀퍼스트)",엘에이치(LH)미추홀아파트 관리사무소,이영배,032-889-5744,37.4566452129,126.6446973890
경기도 용인시 처인구 중부대로 1199 처인구보건소 (삼가동),보건소 3층 엘리베이터 옆,처인구보건소장,031-324-4911,37.2409176415,127.1760789370
"경상남도 창원시 마산합포구 무학로 32 (월영동, 화인아트빌라)",아파트 노인정1층,임재택,010-2061-2939,35.1758621859,128.5548878155
"경기도 평택시 원칠원길 56 관리사무소 (칠원동, 동광아파트)",관리사무소 1층,송영섭,010-7726-1043,37.0315869155,127.101246587
서울특별시 강서구 마곡중앙로 지하 135 마곡나루역 (마곡동),마곡나루역 대합실,조민진,032-745-6280,37.5658227404,126.8276357765
"경기도 김포시 김포한강8로 365  (구래동, 구래역화성파크드림)",정문경비실,강인호,031-989-0878,37.6433753025,126.6286042208
전라북도 군산시 수송로 185  (수송동),롯데마트 1층 고객만족센터 옆,유영현,01063974171,35.9647992300,126.7164112341
"경기도 수원시 영통구 웰빙타운로 130 광교파크자이더테라스 (이의동, 광교파크자이더테라스)","8906동 1,2라인",임현자,031-216-8501,37.3124675144,127.0391951757
경기도 용인시 기흥구 금화로105번길 3  (상갈동),상갈공영주차장 입구 옆,정병근,0313356581,37.2658503152,127.1067408255
대구광역시 북구 옥산로17길 21  (침산동),본관 1층 중앙현관 숙직실 앞,장소연,053-233-7510,35.8862736145,128.5841970364
서울특별시 송파구 방이동 444-17,솔이텃밭 사무실 내,이인창,2147-2516,37.5084442647,127.1389620470
울산광역시 동구 봉수로 155  (화정동),동구청5층 중강당,손철환,052-209-3000,35.5047924215,129.4165894372
인천광역시 서구 원당대로 581  (마전동),1층 도와센터 앞,조영기,01020137900,37.5945307943,126.6645740597
"경기도 김포시 태장로 845  (장기동, 한강센트럴자이 1단지)",2경비초소,이인규,031-997-5826,37.6357913134,126.6771456438
서울특별시 송파구 송파대로 지하 439 석촌역 (석촌동),석촌역 고객안전실,이학진,02-2656-0933,37.5048672530,127.1065599422
"경기도 남양주시 다산지금로145번길 15  (다산동, 다산 펜테리움 리버테라스Ⅰ)",다산금강펜테리움 리버테라스 1차아파트 관리사무소 현관복도,최성규,010-3778-9616,37.6013165218,127.1759656594
세종특별자치시 세종시 세종특별자치시 금남면 발산2길 19,발산리 마을회관,원유빈,044-301-5514,36.4571053169,127.2853885364
서울특별시 강동구 강동대로 327  (둔촌동),고객안전실옆 대합실,강성환,02-2656-0937,37.5184860746,127.1411344224
광주광역시 남구 서문대로742번길 20  (주월동),서진여자고등학교 체육관,송형동,0626421213,35.1256276669,126.9001014203
대구광역시 달서구 월배로 250 1층 로비 (상인동),1층 로비,서재운,0536402167,35.8191051096,128.5404357390
충청북도 충주시 으뜸로 21 보건소 한방실 (금릉동),충주시 보건소 한방실,김은경,850-3422,36.9913173882,127.9252858284
경기도 안양시 동안구 부림로169번길 22 안양건설공제조합 (관양동),4층 사무실내,이기호,010-5757-6015,37.3980710806,126.9609014586
충청북도 제천시 숭의로 101  (화산동),제천종합운동장,담당자,043-641-5752,37.1301043293,128.2177631394
부산광역시 사상구 새벽시장로56번길 20  (감전동),감전동행정복지센터 내,김지애,051-310-3121,35.1542029750,128.9794093068
"전라남도 광양시 중마로 367  (마동, 덕진광양의봄아파트)",덕진광양의봄프리미엄1단지아파트관리실,서병순,061-795-3888,34.9522848333,127.7007428803
제주특별자치도 제주시 천수로 24  (이도이동),1층 중앙현관,김미아,010-2515-4813,33.5025123250,126.5405909983
제주특별자치도 제주시 조천읍 비자림로 672,과학실 앞 복도,박순동,064-783-9744,33.4365012057,126.6780489199
제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 랜딩카지노,슬롯머신룸 입구,문현철,010-3692-0644,33.3049739532,126.3163541637
"경기도 수원시 영통구 웰빙타운로 130 광교파크자이더테라스 (이의동, 광교파크자이더테라스)",경비실,임현자,031-216-8501,37.3089988421,127.0382401905
