주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
서울특별시 금천구 시흥대로 399  (독산동),C,0,,미래이비인후과의원,02-805-0075,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600,0900,,,1300,0900,37.4693593571858,126.89700387000613

"경기도 과천시 별양로 28, A동 3027-3033호 (원문동, 래미안 슈르)",C,0,,과천서울이비인후과의원,02-502-8080,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.4210177746294,126.99097021662561

"경기도 과천시 별양상가1로 25, 4층 (별양동, 렉스타운 407호~408호)",C,0,,김이비인후과의원,02-503-2647,,1800,0900,1800,0900,1800,0900,1800,1400,1800,0900,1330,0900,,,,,37.42825277777777,126.99258888888889

"경기도 과천시 별양상가1로 30 (별양동, 골든타워 202호)",C,0,,상쾌한이비인후과의원,02-502-7200,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1500,0900,,,1300,1000,37.42828177900378,126.99332504399112

경기도 과천시 새술막길 39  (중앙동),C,0,,우리서울이비인후과의원,02-3679-3157,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.429442188358365,126.99173413474776

"경기도 과천시 별양상가3로 5 (별양동, 유니온빌딩 303-1호)",C,0,,장균이비인후과의원,02-504-3030,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.426652596833065,126.99114694958405

"경기도 과천시 별양상가1로 10 (별양동, 과천타워 307호)",C,0,,탑이비인후과의원,02-3477-2401,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1400,0900,,,,,37.42696980656283,126.99200105895832

"충청북도 음성군 맹동면 대하로 271, 301,302,303호",C,0,,베스트이비인후과의원,043-881-0707,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1400,0830,,,1400,0830,36.911544900574675,127.54417294323157

"충청남도 서산시 안견로 190, 서산공용버스터미널 3층 (동문동)",C,0,터미널에서 시장입구쪽,중앙이비인후과의원,041-664-7723,,1800,0800,1800,0800,1300,0800,1800,0800,1800,0800,1300,0800,,,1300,0800,36.78230513112802,126.45786441216592

"충청남도 서산시 호수공원6로 53, 2,5층 (예천동)",C,0,설빙 옆건물,참이비인후과의원,041-669-8275,,2100,0900,1900,0900,,,1900,0900,1900,0900,1400,0900,,,1300,0900,36.77334921315179,126.44952014915972

전라남도 여수시 좌수영로 7 (서교동),C,0,,김철우이비인후과의원,061-641-0689,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1230,0900,,,1100,0900,34.74105432446401,127.72757573056945

경상남도 합천군 합천읍 옥산로 86,C,0,,소리샘이비인후과의원,055-932-3600,,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1230,0900,,,,,35.567952706,128.1644019347

"경기도 동두천시 지행로 50, 401,402,406호 (지행동)",C,0,,서울이비인후과의원,031-858-9760,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.89209444109417,127.0526165374115

"경기도 동두천시 지행로 53, 303,304호 (지행동)",C,0,,우리이비인후과의원,031-866-0974,,1930,0900,1930,0900,1930,0900,1930,0900,1930,0900,1600,0900,1300,0900,1300,0900,37.8926970886,127.0532376605

경기도 동두천시 중앙로 126  (지행동),C,0,,정이비인후과의원,031-859-6494,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1630,0900,1300,0900,1600,0900,37.89277558580916,127.05253515355588

"서울특별시 강북구 도봉로 317, 3층 (수유동, 덕산빌딩)",C,0,수유역 5번 출구,연세이비인후과의원,02-999-5370,,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,1700,0900,1600,0900,1600,0900,37.63682166569457,127.02391012896828

경기도 파주시 문화로 61 (금촌동),C,0,,강이비인후과의원,031-944-5203,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,37.75985386232834,126.77598716028834

경기도 파주시 청석로 272,C,0,,교하연세이비인후과의원,031-957-3517,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.72612220893899,126.71770689878409

"경기도 파주시 청석로 256, 403호 (동패동, 교하일번가)",C,0,,굿모닝이비인후과의원,031-957-7585,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.72464699861227,126.71776753704081

"경기도 파주시 청암로17번길 33, 603호 (목동동)",C,0,,늘봄이비인후과의원,031-947-4477,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.7287102246,126.7363873929

"경기도 파주시 와석순환로 72, 402호 (야당동, 홍원프라자)",C,0,,다나이비인후과의원,031-943-7077,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1500,0830,,,1200,0900,37.71061153279357,126.75125307715338

"경기도 파주시 미래로 371, 1001,1002호 (동패동, 씨티타워 외 와석순환로 125, 504호(동패동,현대프라자))",C,0,,두리이비인후과의원,031-946-2115,,2030,0900,2000,0900,2030,0900,2000,0900,2030,0900,1500,0900,,,1200,0900,37.7110864316,126.7458628134

"경기도 동두천시 중앙로 272, 3층 (생연동)",C,0,,김이비인후과의원,031-867-7575,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1500,0900,,,,,37.905862128570384,127.05429896374083

경기도 파주시 문산읍 문향로67번길 1,C,0,,연세이비인후과의원,031-953-2007,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1330,0900,,,,,37.85787966198142,126.78497317063636

경기도 파주시 문산읍 방촌로 1721,C,0,,우리연세이비인후과의원,031-952-7515,,1900,0900,1900,0900,1200,0900,1900,0900,1900,0900,1600,0900,1300,1000,1300,1000,37.866365798883116,126.78457558087703

경기도 파주시 금빛로 24-28 (금촌동),C,0,,우리이비인후과의원,031-941-5011,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.7516545803,126.7682731385

"경기도 파주시 시청로 2, 4층 (금촌동)",C,0,,원이비인후과의원,031-942-1275,,1830,0900,1830,0900,1230,0900,1830,0900,1830,0900,1230,0900,,,,,37.7574789182174,126.77408163514642

경기도 파주시 중앙로 308,C,0,,정이비인후과의원,031-941-1859,,1830,0930,1830,0930,1830,0930,1300,0930,1830,0930,1400,0930,,,,,37.76336706826231,126.77569329798473

"경기도 파주시 조리읍 고봉로 1039, 401-403호 (아트텔)",C,0,,조현철이비인후과의원,031-949-7068,,1830,0900,1830,0900,1830,0900,1200,0900,1830,0900,1300,0900,,,,,37.7438304007577,126.80829425863766

경기도 파주시 미래로 620,C,0,,코아이비인후과의원,031-944-8300,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1500,0900,,,1300,0900,37.73242529918898,126.75109346426197

"경기도 파주시 새꽃로 27, 402호 (금촌동, 금촌크리닉센터)",C,0,,한사랑이비인후과의원,031-957-6400,,1800,0900,1800,0900,1800,1400,1800,0900,1800,0900,1300,0900,,,,,37.75245114503218,126.76832966001205

"경기도 파주시 미래로602번길 3, 윤정프라자 301호 (와동동)",C,0,,베스트이비인후과의원,031-948-2255,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.731287657683914,126.7516463412853

부산광역시 사하구 다대로 425  (다대동),C,0,1호선 낫개역 6번 출구,안영민이비인후과의원,051-266-3800,,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,,,35.064972674031225,128.9799922374642

"인천광역시 계양구 계양문화로 96, 302호 (용종동, 강북프라자)",C,0,홈플러스맞은편 강북프라자3층,김용주이비인후과의원,032-551-5875,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1300,0930,,,,,37.53917522012438,126.7371315492883

충청남도 금산군 금산읍 비범로 6,C,0,연세소아과  맞은편 파리바게트 건물 2층,코코이비인후과의원,041-754-2920,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,36.1033322205439,127.49092851403078

"경기도 용인시 기흥구 용구대로 2398, 402호 (마북동, 벽산주상가)",C,0,,우리이비인후과의원,031-287-7512,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.30034953534225,127.10735385639168

인천광역시 계양구 경명대로 1049 (계산동),C,0,계산삼거리 농협건물 2층,김홍수이비인후과의원,032-544-1859,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,37.5437825841902,126.72338547613256

"경기도 용인시 기흥구 구갈로60번길 1, 오래메디칼센타 (구갈동)",C,0,구갈동 보건소 옆,장이비인후과의원,031-282-5075,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,,,37.279812999224056,127.11157383179422

인천광역시 계양구 효서로 233-1 (작전동),C,0,한마음병원 부근,배규정이비인후과의원,032-542-6866,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0930,,,,,37.52811286242735,126.72225995638627

"인천광역시 계양구 봉오대로 668, 201,303호 (작전동)",C,0,작전역 5번출구 휘림빌딩 301호,비에스코아이비인후과의원,032-548-0005,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,1300,1000,1300,1000,37.529556613522395,126.72333334980975

"인천광역시 계양구 계산새로65번길 17, 2층 (계산동, 계양메디칼빌딩)",C,0,홈플러스 계산점,서울이비인후과의원,032-543-5800,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600,0900,,,,,37.539864197525546,126.73519804781088

"인천광역시 계양구 안남로 548, 306호 (효성동, 효성프라자)",C,0,뉴서울 2차 아파트 건너편,서이비인후과의원,032-297-5050,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.531883660925885,126.71119588134856

경기도 용인시 기흥구 동백중앙로 352 (동백동),C,0,,조은이비인후과의원,031-693-5075,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.28214117511764,127.15941982543708

경기도 용인시 기흥구 동백중앙로 175,C,0,,코아이비인후과의원,031-8005-8875,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,1200,0900,37.26997330268977,127.15417663467932

"경기도 용인시 기흥구 중부대로 343-1 (신갈동,  동원빌딩 3층)",C,0,,현이비인후과의원,031-282-6060,,1800,0900,1800,0900,1300,0900,1800,0900,1800,0900,1300,0930,,,,,37.271744588853835,127.1051030360247

"경기도 용인시 기흥구 구성로 102, 207호 (언남동, 푸른종합상가)",C,0,,홍이비인후과의원,031-287-0028,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1400,0900,,,,,37.293442490437975,127.12038140352706

"인천광역시 계양구 아나지로417번길 20, 3층 (작전동, 태주빌딩)",C,0,"작전이마트건너편, 현대2차아파트 앞",연세모아이비인후과의원,032-543-5382,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,37.527454997168654,126.73895373893518

인천광역시 계양구 주부토로 479 (계산동),C,0,복개천 사거리 농협 3층,연세이비인후과의원,032-552-9519,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,,,37.53700221302725,126.72772109511934

인천광역시 계양구 계양대로 214 (계산동),C,0,,예그린이비인후과의원,032-551-1291,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1500,0900,,,,,37.543048354428635,126.72303399543462

"경기도 하남시 미사강변동로 127, 경서타워 406,407호 (망월동)",C,0,,더서울이비인후과의원,031-795-8375,,2000,0900,1900,0900,1900,0900,2000,0900,1900,0900,1500,0900,1300,0900,1300,0900,37.566179613656544,127.19104583190706

"인천광역시 계양구 경명대로 1115, 308호 (계산동, 인평프라자)",C,0,천년웨딩홀 맞은편,이종우이비인후과의원,032-549-0587,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1600,0930,,,,,37.543489526763175,126.7309290527283

"경기도 용인시 기흥구 죽전로 53, 404호 (보정동, 야후빌딩)",C,0,,365플러스이비인후과의원,031-898-3654,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1400,0900,,,1200,0900,37.3207376961,127.1146661886

"인천광역시 계양구 장제로 907, 2층 (병방동, 장상빌딩)",C,0,농협건물 맞은편 병방초 인근,코비코이비인후과의원,032-556-7912,,1830,0900,1830,0900,1300,0900,1830,0900,1830,0900,1300,0900,,,,,37.54765785051992,126.74048451319192

인천광역시 계양구 장제로 912 (병방동),C,0,병방초등학교 맞은편 농협 옆건물 3층.,코코로이비인후과의원,032-541-7505,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.54775973470245,126.74134081263463

"인천광역시 계양구 동양로 101, 304호 (동양동, 명일프라자)",C,0,"박촌역주변,동양주공아파트1.2단지 정문쪽 명일프라자 3층",탑이비인후과의원,032-582-7975,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,37.558995084602216,126.7562971882794

경기도 용인시 기흥구 구성로 98,C,0,SC은행 건물 4층,구성이비인후과의원,031-285-2275,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1500,0930,,,1500,0930,37.29377454822783,127.11990374197279

경기도 용인시 기흥구 한보라1로 14 (보라동),C,0,,김정훈이비인후과의원,031-274-8275,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.2536042972,127.1096452547

"인천광역시 계양구 용종로 2, 201호 (계산동, 계산프라자)",C,0,부현동초등학교 맞은편 기업은행 2층,홍혜준이비인후과의원,032-551-5071,,1830,0900,1830,0900,1830,0900,1830,1400,1830,0900,1400,0900,,,,,37.533948318848886,126.74148098623935

"경기도 용인시 기흥구 구성3로28번길 30 (청덕동, 구성프라자)",C,0,,늘푸른이비인후과의원,031-274-2577,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.29615270269176,127.15211822898478

"경기도 용인시 기흥구 강남동로 10, 203호 (구갈동, 강남피아)",C,0,,다나이비인후과의원,031-274-8642,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.271275000000003,127.128138888888884

"경기도 용인시 기흥구 죽전로 50, 센타프라자 304호 (보정동)",C,0,,닥터권이비인후과의원,031-265-3694,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,37.32073769607182,127.1146661885569

"경기도 용인시 기흥구 동백5로 17 (중동, 동백레이크시티플라자 404호)",C,0,,동백수이비인후과의원,031-287-0036,,1900,0930,1900,0930,1900,0930,,,1900,0930,1300,0930,,,,,37.27671438289327,127.1519031269972

"경기도 용인시 기흥구 흥덕중앙로 59 (영덕동, 용인흥덕노블레스흥덕노블레스)",C,0,흥덕노블레스 404호,두리이비인후과의원,031-215-5075,,1900,0900,2000,0900,1900,0900,2000,0900,1900,0900,1400,0900,,,1300,1000,37.27649751524698,127.07370638312872

광주광역시 서구 금화로 90,C,0,금호지구 우리은행(킴스마트) 4층,코아이비인후과의원,062-652-7275,,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1600,0830,,,1300,0900,35.131930173861385,126.85855648441549

"경기도 용인시 기흥구 죽전로 20 (보정동, 죽전누리에뜰 209-1, 210호)",C,0,,맑은연합이비인후과의원,031-262-9575,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,37.31996744945225,127.11050868429035

경기도 용인시 기흥구 동백중앙로 283,C,0,,민이비인후과의원,031-8006-2040,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1430,0900,,,,,37.27761780186338,127.15407029547707

"경기도 용인시 기흥구 삼성로 1, 삼성전자(주)기흥캠퍼스(복지관) (농서동)",C,0,,본이비인후과의원,031-209-9094,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.226944381775894,127.08776464818088

"경기도 용인시 기흥구 서천로 121, 원희캐슬 406호 (서천동)",C,0,,상쾌한이비인후과의원,031-205-5075,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,37.23683739772476,127.07249012758572

"경기도 용인시 기흥구 기흥역로 63, 3층 (구갈동, 힐스테이트 기흥)",C,0,,센트럴이비인후과의원,031-8009-0209,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.27511613749268,127.11860642731179

경기도 용인시 기흥구 구갈로 70,C,0,,수이비인후과의원,031-285-7470,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.28057698539527,127.11166966222197

경기도 용인시 기흥구 새천년로26번길 2,C,0,,연세미래이비인후과의원,031-275-8217,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1530,0900,1230,1000,1230,1000,37.28903561798545,127.11193911235014

"경기도 용인시 기흥구 흥덕2로87번길 18 (영덕동, 이씨티)",C,0,,연세이비인후과의원,031-216-1324,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,37.275954111673215,127.07234832177646

"부산광역시 수영구 수영로 581, 우광메디컬센터 5층 501호 (광안동)",C,0,2호선 광안역 4번 출구,우리이비인후과의원,051-753-8822,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1400,0900,,,,,35.1576629402,129.1127892245

부산광역시 수영구 수영로 592 (광안동),C,0,2호선 광안역 1번출구,이익재이비인후과의원,051-753-4450,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1430,0900,,,,,35.15859166666667,129.11369444444608

"경기도 김포시 김포한강4로 530, 우승프라자 4층 402-403호 (구래동)",C,0,,수이비인후과의원,031-982-3471,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,37.64627585127875,126.62499557251743

"부산광역시 수영구 수영로 386-1, 원탄크리닉 2층 (남천동)",C,0,2호선 남천역 3번출구,장혁기 이비인후과의원,051-628-6699,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1530,0900,,,,,35.14092777777777,129.10708611111275

"부산광역시 수영구 수영로 517, 센터럴타워 4층 (광안동)",C,0,2호선 금련산역 2번 출구,조병우이비인후과의원,051-758-3593,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.15209114534623,129.11128896231293

울산광역시 울주군 범서읍 천상중앙길 95,C,0,한솔빌딩2층,조재민이비인후과의원,052-245-0353,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,1300,0900,35.562482201448965,129.22626272825082

"울산광역시 울주군 온산읍 덕신로 264, 2층",C,0,,최이비인후과의원,052-238-9207,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.433541666666663,129.310230555555563

울산광역시 울주군 온양읍 온양로 102,C,0,온양읍대안리 미도파아파트입구,한빛이비인후과의원,052-239-2713,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,,,35.409930555555555,129.282708333333346

울산광역시 울주군 언양읍 헌양길 16,C,0,,굿모닝이비인후과의원,052-263-9525,,1830,0900,1830,0900,1830,0900,1830,0900,1830,0900,1300,0900,,,,,35.564372373916896,129.12672388345868

"울산광역시 울주군 범서읍 구영로 104, 1층",C,0,,서준영이비인후과의원,052-248-5075,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,35.573322646899285,129.24169878630823

"울산광역시 울주군 범서읍 구영로 100, 3층 302호 (구영프라자)",C,0,구영프라자3층302호,성모이비인후과의원,052-248-7585,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300,0900,,,,,35.573627876523915,129.24137200476616

"울산광역시 울주군 언양읍 동문길 65, 2층",C,0,,오형덕이비인후과의원,052-262-1716,,1900,0840,1900,0840,1900,0840,1900,0840,1900,0840,1400,0840,,,,,35.5650457799,129.1286524241

"울산광역시 울주군 온산읍 덕신로 262, 2층",C,0,,온산행복이비인후과의원,052-933-5575,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1400,0900,,,,,35.43348621590002,129.31006260240298

"울산광역시 울주군 범서읍 장검길 55, 2층",C,0,,울산이비인후과의원,052-249-7582,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500,0900,,,1300,0900,35.5537283088,129.2529569673

