주소,분류,응급여부,간이약도,이름,Tel,Tel_E,월close,월open,화close,화open,수close,수open,목close,목open,금close,금open,토close,토open,일close,일open,공close,공open,위도,경도
경상남도 창원시 성산구 원이대로 666,G,0,창원메디컬 부근,더웰한의원,055-274-1767,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400,0900,,,,,35.22369751774056,128.68609521319826

"경상남도 창원시 의창구 도계로60번길 3 (도계동, 동의부부한의원)",G,0,도계초교 부근,도계한의원,055-277-1986,,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,1800,1100,,,,,35.258883680880146,128.63755553843967

경상남도 창원시 성산구 마디미로3번길 10 (상남동),G,0,,동남정한의원,055-266-9793,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400,1000,,,,,35.223124805026124,128.68641768902052

"경상남도 창원시 성산구 창이대로 733 (사파동, 사파동성아파트상가A동 302호)",G,0,상남교회 부근,동방한의원,055-263-8902,,1840,0940,1840,0940,1840,0940,1840,0940,1840,0940,1400,0940,,,,,35.21927941442451,128.7022309373402

경상남도 창원시 의창구 원이대로 269,G,0,경남은행-국민은행 사이,동서한의원,055-275-4525,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,35.2432917203385,128.64984025056273

경상남도 창원시 성산구 원이대로 716  (상남동),G,0,대동백화점 부근,동양한의원,055-274-1275,,1830,1000,1830,1000,1830,1000,1830,1000,1830,1000,1500,1000,,,,,35.221052633678035,128.69015670133822

"경상남도 창원시 의창구 읍성로 86, 1층 (소답동)",G,0,홀마트 부근,동인한의원,055-298-5606,,1900,0940,1900,0940,1900,0940,1900,0940,1900,0940,1500,0930,,,,,35.26481204208973,128.62724903684335

"경상남도 창원시 성산구 동산로65번길 31, 1층 (상남동)",G,0,법원맞은편,드림한의원,055-261-7507,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,35.2224567232502,128.69964438237744

"경상남도 창원시 의창구 도계로4번길 46, 2층 201호 (도계동, 성문빌딩)",G,0,창원시엘여성병원 부근,명곡한의원,055-288-6500,,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1230,0900,,,,,35.25792720810408,128.6341741830184

"경상남도 창원시 의창구 읍성로 78 (소답동, 명신부부한의원)",G,0,소답동 롯데리아 부근,명신부부한의원,055-251-1075,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,,,,,,,35.264860301814615,128.62634016941448

"경상남도 창원시 성산구 중앙대로 123 (중앙동, 롯데마트 4층)",G,0,롯데마트 창원 중앙점 4층,명인당한의원,055-287-8574,,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,1830,1000,1830,1000,1830,1000,35.225553373066894,128.68027795806745

"경상남도 창원시 의창구 팔용로 429 (팔용동, 팔용프라자 205호)",G,0,,몸그린한의원,055-716-1119,,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,1500,1000,,,,,35.25499854652346,128.61241902210213

"경상남도 창원시 의창구 봉곡로123번길 10, 1층 (봉곡동)",G,0,대동그린코아 부근,무궁화한의원,055-237-5697,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,,,,,,,35.246737969560925,128.67087530105854

"경상남도 창원시 의창구 북면 무동로226번길 6-30, 한울빌딩 1층 102,103호",G,0,,무동부부한의원,055-299-7633,,2100,1030,1900,1030,2100,1030,1900,1400,2100,1030,1400,1030,,,,,35.3174511423,128.5853159674

"경상남도 창원시 성산구 마디미로73번길 20, 402호 (상남동)",G,0,경남은행 맞은편,문한의원,055-275-4959,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,1300,0930,35.218892453146736,128.68296926226154

"경상남도 창원시 성산구 원이대로 676, 2층 (상남동,금탑빌딩)",G,0,세광병원 근처,미동의보감한의원,055-274-7579,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,,,,,,,35.22253767622752,128.68676720174886

"경상남도 창원시 의창구 도계로 63  (도계동, 중앙상가연립)",G,0,반림현대건설아파트 부근,민강한의원,055-288-1075,,1900,0930,2000,0930,1900,0930,2000,0930,1900,0930,1300,0930,,,,,35.25895712052424,128.63825581882313

"경상남도 창원시 성산구 토월로 88 (상남동, 1층)",G,0,,바른몸한의원,055-266-1077,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1300,1000,,,,,35.21881703243326,128.68408382558528

경상남도 창원시 성산구 원이대로 646 에이스빌딩 401호(상남동),G,0,,바른한의원,055-287-1075,,2000,0930,1800,0930,2000,0930,,,2000,0930,1400,0930,,,,,35.22477790538168,128.6841982204069

"경상남도 창원시 성산구 가음정로43번길 3, 5층 504.505호 (가음동, 가음정빌딩)",G,0,,박동수한의원,055-275-4935,,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1700,0900,,,,,35.209613802100016,128.68899758590072

경상남도 창원시 성산구 원이대로883번길 15-24  (가음동),G,0,가음시장 내,박종철한의원,055-289-9087,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1500,0930,,,,,35.20810702107805,128.69690292508687

"경상남도 창원시 성산구 대정로 138 (대방동, 대방대동아파트)",G,0,대방초등학교 근처,박준수한의원,055-283-5058,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400,1000,,,1400,1000,35.211766747555046,128.70762180630953

"경상남도 창원시 성산구 반송로 148-6, 미건빌딩 3층 301호 (반림동)",G,0,,반림코숨한의원,055-253-7208,,1900,0900,1900,0900,2000,1030,1900,0900,1900,0900,1600,0900,,,1300,0900,35.2359522536,128.6712523921

경상남도 창원시 성산구 원이대로473번길 20-3  (반림동),G,0,"반송파출소 부근, 반송시장입구 던킨도넛, 창원제일신협 건물",반송한의원,055-275-8500,,1900,0930,1900,0930,1900,1400,1900,0930,1900,0930,1500,0930,,,,,35.23539791008598,128.67055500132165

"경상남도 창원시 성산구 반지로 55, 1층 (반지동)",G,0,,반지한의원,055-265-7579,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1300,0930,,,,,35.2429218674,128.6627785269

"경상남도 창원시 성산구 원이대로 678 (상남동, 901호)",G,0,,발머스한의원,055-283-7010,,1900,1000,2100,1000,,,2100,1000,1900,1000,1700,1000,,,,,35.22313284485538,128.6871987194362

"경상남도 창원시 성산구 창이대로881번길 9, 3층 301호 (대방동)",G,0,디지털아파트 정문 맞은편,보강한의원,055-261-5187,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0900,,,,,35.20723853695318,128.70798409504493

경상남도 창원시 성산구 신촌로 112  (신촌동),G,0,경남은행 신촌동 출장소 (신촌생활문화센터 건물),보명한의원,055-264-7975,,1900,0930,2100,0930,1900,0930,1900,0930,2100,0930,1600,0900,,,,,35.199420027380256,128.62854461222685

경상남도 창원시 성산구 원이대로473번길 13 (반림동),G,0,반송시장 안,본한의원,055-261-1075,,1930,1000,1930,1000,1930,1000,1930,1000,1930,1000,1330,1000,,,,,35.234741951032326,128.67002310928797

경상남도 창원시 의창구 북면 천주로 1089,G,0,,북면 경희한의원,055-291-1505,,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1300,0830,,,,,35.3479493723,128.6076163155

경상남도 창원시 의창구 북면 신촌본포로 8,G,0,신우 아파트 101동 앞,북면한의원,055-294-8350,,1830,0800,1830,0800,1830,0800,1300,0800,1830,0800,1300,0800,,,,,35.3473222767,128.6084178557

"경상남도 창원시 성산구 대암로 247, A402호 (성주동, 더스퀘어)",G,0,,삼삼한의원,055-262-3393,,1900,0930,1900,0930,2030,0930,1900,0930,1900,0930,1300,0900,,,,,35.2038232258,128.7116633204

"경상남도 창원시 의창구 원이대로 663 (신월동, 은아아파트)",G,0,"창원소방서 맞은편, 은아아파트 후문 버스정류장 앞 상가건물",삼성한의원,055-281-8805,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1500,0930,,,,,35.22695432516027,128.68649642578276

경상남도 창원시 성산구 원이대로682번길 14 (상남동),G,0,,생기한의원,055-262-1175,,2100,1030,1830,1000,,,2100,1000,1830,1000,1430,0930,,,,,35.222109495890706,128.6865855775238

경상남도 창원시 성산구 용지로 49 (중앙동),G,0,,생명마루한의원,055-281-1075,,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,1500,1000,,,,,35.22112787156627,128.67446270450355

"경상남도 창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",G,0,대동백화점,서상진한의원,055-289-7333,,1840,1000,1840,1000,1840,1000,1840,1000,1840,1000,1300,1000,,,,,35.21934533160946,128.69160610133102

"경상남도 창원시 성산구 반송로 144 (반림동, 수영빌딩)",G,0,반송초등학교 부근,서울한의원,055-285-8555,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1500,1000,,,,,35.23605020205383,128.67109122067052

"경상남도 창원시 성산구 가양로124번길 5-3 (대방동, 경남빌딩4층)",G,0,,석현한의원,055-265-7975,,2000,1000,2000,1000,2000,1000,2000,1400,2000,1000,1500,0930,,,,,35.20904275894372,128.70709072708215

"경상남도 창원시 의창구 도계로 52 (도계동, 성림한의원)",G,0,도계초등학교 앞,성림한의원,055-277-1170,,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,,,35.2596520650695,128.63714117232178

"경상남도 창원시 성산구 신사로 113, 1층 (사파동)",G,0,,성산한의원,055-275-7510,,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400,1000,,,,,35.2215302742,128.6963039896

경상남도 창원시 성산구 원이대로473번길 24  (반림동),G,0,반송시장 부근,성심한의원,055-263-3232,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,1400,0900,35.2356667103,128.6707851913

"경상남도 창원시 성산구 동산로 124, 502-1호 (상남동, 성원주상가)",G,0,,세종한의원,055-263-5353,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,35.219370742247435,128.691593449779

경상남도 창원시 성산구 대암로 82 (대방동),G,0,,손빛한의원,055-266-6635,,1800,0930,1800,0930,1800,0930,1800,0930,1800,0930,1400,0930,,,,,35.2148405466,128.7062413701

"경상남도 창원시 의창구 평산로207번길 4, 5층 507호 (서상동)",G,0,,손한의원,055-253-1212,,2100,0930,1900,0930,2100,0930,1400,0930,1900,0930,1400,0930,,,,,35.2601678395,128.6258957125

경상남도 창원시 성산구 비음로 45 (사파동),G,0,경남은행 부근,솔백한의원,055-261-2111,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,,,,,,,35.235825,128.67094722222254

경상남도 창원시 성산구 원이대로863번길 28 (가음동),G,0,,수도한의원,055-275-2122,,2100,0940,1900,0940,2100,0940,1900,1430,1900,0940,1300,0940,,,,,35.208023019196624,128.6982671529373

경상남도 창원시 의창구 동읍 동읍로 5,G,0,신안맨션 옆,수영한의원,055-252-2360,,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,,,,,,,35.27781562328664,128.68437998288053

"경상남도 창원시 성산구 원이대로682번길 6 (상남동, 풍원빌딩3층 301호,302호)",G,0,,숨길을열다한의원,055-274-1076,,1900,1000,2000,1000,,,2000,1000,1900,1000,1530,0930,,,,,35.22265128012191,128.68702730599932

경상남도 창원시 의창구 동읍 용정길46번길 43,G,0,,신미재한의원,055-255-3372,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.2748412492,128.7056176849

경상남도 창원시 의창구 동읍 의창대로 854,G,0,,신상호한의원,055-253-8522,,1900,0900,1900,0900,1900,0900,1900,0900,2100,0900,1400,0900,,,,,35.276846383459876,128.68460610022026

"경상남도 창원시 성산구 용지로133번길 3, 한서빌딩 6층 601호 (중앙동)",G,0,한서병원부근,신영통부부한의원,055-274-7533,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1400,0930,,,,,35.22768132700641,128.6790560764973

"경상남도 창원시 의창구 상남로192번길 41-3, 토우빌딩 1층 (신월동)",G,0,,신월한의원,055-289-7553,,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300,0900,,,,,35.22728033741329,128.69138900677413

"경상남도 창원시 성산구 마디미로4번길 7 (상남동, 성경상가)",G,0,은아그랜드아파트 정문 맞은편,실로암한의원,055-266-5717,,1800,1030,1800,1030,1800,1030,1800,1030,1800,1030,1600,1030,,,,,35.22402247983574,128.68485915950396

경상남도 창원시 성산구 원이대로 716  (상남동),G,0,"대동백화점 부근  (상남동, 대동메디칼)",씨엠씨창원한의원,055-289-8791,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,35.221030826989065,128.69016942825127

경상남도 창원시 성산구 안민로117번길 9  (안민동),G,0,안민동 농협 부근,안민한의원,055-238-5529,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,35.18674528026808,128.68937184515096

경상남도 창원시 의창구 명지로 82-4 (명서동),G,0,명서시장 입구,열린한의원,055-237-0366,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1700,0930,,,,,35.24919916875254,128.646729910906

"경상남도 창원시 의창구 사림로45번길 1, 2층 (봉곡동, 동진자동차정비)",G,0,사림프라자,예안한의원,055-237-1775,,2100,0930,1900,0930,1900,0930,2100,1400,1900,0930,1400,0930,,,,,35.247563635947834,128.6774978067461

"경상남도 창원시 성산구 대정로35번길 10 (가음동, 오시오쇼핑)",G,0,가음동 시장 주차타워,오시오한의원,055-282-3834,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1600,0930,,,,,35.208214162303314,128.69748931683287

경상남도 창원시 의창구 의창대로211번길 2,G,0,윤병원 근처,우담한의원,055-256-9951,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1500,0930,,,,,35.26186315659391,128.62134456010523

경상남도 창원시 의창구 봉곡로124번길 1 (봉곡동),G,0,봉곡시장,우리들한의원,055-275-3888,,1900,0930,1900,0930,1900,0930,1900,0930,1900,0930,1300,0930,,,,,35.246261658861734,128.6702467454303

경상남도 창원시 의창구 대산면 주남로 553,G,0,농협부근,우리조은한의원,055-294-1275,,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1230,0800,,,,,35.33338303628515,128.70731948854467

경상남도 창원시 성산구 창이대로690번길 4-1 (사파동),G,0,법원 맞은편 뒷건물,우리한의원,055-261-0177,,2100,0930,1900,0930,1900,0930,1900,0930,2100,0930,1600,0930,,,,,35.2230906238,128.6996839613

"경상남도 창원시 성산구 마디미서로 54 (상남동, 서울아동병원)",G,0,우리은행 창원지점 옆,우보한의원,055-261-4740,,1800,1000,2100,1400,1800,1000,1800,1000,2100,1400,1500,1000,,,,,35.220836871348226,128.68089236780892

"경상남도 창원시 성산구 가양로124번길 23 (대방동, 크리스탈빌딩)",G,0,공용주차장 부근,우인한의원,055-286-8275,,1830,0900,1800,0900,1830,0900,1800,1430,1830,0900,1330,0900,,,,,35.20716024227777,128.70758691123447

"경상남도 창원시 의창구 팔용로 429 (팔용동, 팔용프라자)",G,0,동사무소,원광한의원,055-297-7666,,1930,0930,1930,0930,1930,0930,1930,0930,1930,0930,1600,0930,,,1300,0930,35.255037933561646,128.61252461040564

경상남도 창원시 성산구 원이대로 654  (상남동),G,0,은아그랜드 정문 앞,원심제당한의원,055-263-1588,,1830,0930,1830,0930,1830,0930,1830,0930,1830,0930,1330,0930,,,,,35.22436282649476,128.68491404530113

"경상남도 창원시 성산구 중앙대로100번길 93 (상남동, 리베라컨벤션 4층)",G,0,하나은행 롯데백화점뒤 리베라컨벤션 4층,이레생한의원,055-264-7233,,2030,1030,2030,1030,2030,1030,,,2030,1030,1630,1030,,,,,35.22319047176003,128.6805583011048

