이름,주소,전화번호,경도,위도
영월군청,"강원 영월군 영월읍 하송로 64 (하송리, 영월군청사)",T.033-370-2218,128.461809,37.18370613
원주종합체육관,"강원 원주시 서원대로 281 (명륜동, 원주종합체육관)",T.033-737-4306,127.9419143,37.33906091
원주시청,"강원 원주시 시청로 1 (무실동, 원주시청)",T.033-737-2472,127.9181763,37.33975798
춘천지방법원원주지원,"강원 원주시 시청로 149 (무실동, 춘천지방법원 원주지원)",T.033-738-1031,127.9345276,37.3331797
원주시보건소,"강원 원주시 원일로 139 (일산동, 시민문화센터)",T.033-737-4057,127.9467942,37.35158425
원주만종역,강원 원주시 호저면 운동들1길 31 (만종리),T.033-520-8171,127.8970119,37.35603327
내린천휴게소(양양방향),강원 인제군 상남면 서울양양고속도로 117-2 (하남리),T.033-852-8605,128.2876626,37.91548483
인제군보건소,"강원 인제군 인제읍 인제로140번길 34 (남북리, 인제보건소)",T.033-461-4190,128.1685884,38.06327941
정선군보건소,"강원 정선군 정선읍 녹송로 33 (봉양리, 정선군보건소)",T.033-560-2116,128.6714873,37.38009485
철원군보건소,"강원 철원군 갈말읍 군탄로 16 (군탄리, 철원군보건소)",T.033-450-5764,127.3028883,38.14820868
남춘천역,"강원 춘천시 영서로 2260 (퇴계동, 남춘천역)",T.033-257-7022,127.7239149,37.86404449
춘천시립도서관,"강원 춘천시 우석로 100 (석사동, 춘천시립도서관)",T.033-245-5138,127.7550188,37.86199051
춘천시보건소,"강원 춘천시 중앙로 135 (중앙로3가, 춘천시보건소)",T.033-250-3993,127.7202187,37.87554765
강원도청,"강원 춘천시 중앙로 1 (봉의동, 강원도청)",T.033-249-2284,127.7300717,37.88458243
춘천역,"강원 춘천시 공지로 591 (근화동, 춘천역)",T.033-241-7758,127.7170033,37.884667
태백시보건소,"강원 태백시 태백로 905 (황지동, 보건소)",T.033-550-3033,128.9924318,37.17663258
한국청소년안전체험관,"강원 태백시 평화길 15 (장성동, 한국청소년안전체험관)",T.033-550-3101,129.0247262,37.10205837
평창역,"강원 평창군 용평면 평창대로 1715 (재산리, 평창역)",T.033-520-8103,128.4302588,37.56249872
진부역,"강원 평창군 진부면 송정길 120 (송정리, 진부역)",T.033-520-8300,128.5744654,37.64277077
홍천강휴게소,강원 홍천군 북방면 도사곡길 223 (소매곡리),T.033-435-1201,127.8277033,37.71242938
홍천군청,"강원 홍천군 홍천읍 석화로 93 (희망리, 홍천군청)",T.033-430-2325,127.8886499,37.69720329
홍천군보건소,"강원 홍천군 홍천읍 신장대로 5 (희망리, 홍천군보건소)",T.033-430-4044,127.8772881,37.6902098
연봉도서관,강원 홍천군 홍천읍 연봉중앙로 11-10 (연봉리),T.033-430-2402,127.8746706,37.68225486
홍천(양양)휴게소,강원 홍천군 화촌면 서울양양고속도로 84 (군업리),T.010-5339-0444,128.0032238,37.75729384
홍천(서울)휴게소,강원 홍천군 화촌면 구룡령로 933-46 (군업리),T.010-8375-4348,128.0399528,37.75382688
화천군보건의료원,"강원 화천군 화천읍 강변로 111 (중리, 화천군보건의료원)",T.033-440-2872,127.7091205,38.10734133
화천읍주민자치센터,"강원 화천군 화천읍 중앙로9길 9 (하리, 화천읍자치센터)",T.033-440-2626,127.707238,38.10444599
횡성군청,"강원 횡성군 횡성읍 태기로 15 (읍하리, 횡성군청)",T.033-340-2489,127.9845286,37.49161788
가평군보건소,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소)",T.031-580-2822,127.5106021,37.83350411
가평역,"경기 가평군 가평읍 문화로 13-42 (달전리, 가평역사)",T.031-581-2855,127.5110183,37.81425194
아침고요수목원,"경기 가평군 상면 수목원로 432 (행현리, 아침고요수목원)",T.010-6203-9949,127.3525327,37.74394933
설악도서관,"경기 가평군 설악면 자잠로 65 (신천리, 가평설악도서관)",T.031-580-4312,127.4909752,37.68334991
대성리역,"경기 가평군 청평면 경춘로 88 (대성리, 대성리역)",T.031-584-0616,127.3792355,37.68408503
상천역,"경기 가평군 청평면 상천역로 29 (상천리, 상천역)",T.010-6295-8450,127.4534367,37.76985766
청평도서관,"경기 가평군 청평면 은고개로 31 (청평리, 가평군립청평도서관)",T.031-580-4332,127.4242313,37.73950499
청평역,"경기 가평군 청평면 청평역로 97-33 (청평리, 청평역)",T.031-541-0012,127.4266492,37.73553616
프랑스문화마을(쁘띠프랑스),"경기 가평군 청평면 호반로 1063 (고성리, 쁘띠프랑스)",T.010-9094-8408,127.4902338,37.71499576
스타필드 고양점,"경기 고양시 덕양구 고양대로 1955 (동산동, 스타필드 고양)",T.02-5173-4715,126.8947783,37.64697672
이케아고양점1층,"경기 고양시 덕양구 권율대로 420 (도내동, 이케아 고양점)",T.010-8002-1310,126.8631241,37.62958897
행신어린이도서관,"경기 고양시 덕양구 소원로181번길 42 (행신동, 시립행신어린이도서관)",T.031-8075-9274,126.8434677,37.61479068
덕양구보건소,"경기 고양시 덕양구 원당로33번길 28 (주교동, 덕양구보건소)",T.031-8075-4032,126.831048,37.65783722
행신역,"경기 고양시 덕양구 소원로 102 (행신동, 행신역)",T.031-979-0263,126.834189,37.6121305
화전역,"경기 고양시 덕양구 화랑로 53 (화전동, 화전역)",T.02-3158-0788,126.8683853,37.60331414
화정역,"경기 고양시 덕양구 화정로 지하 60 (화정동, 화정역)",T.031-974-4971,126.8326307,37.63450844
덕양구청,"경기 고양시 덕양구 화중로104번길 13 (화정동, 덕양구청)",T.031-8075-5032,126.8322933,37.63746632
벨라시타,"경기 고양시 일산동구 강송로 33 (백석동, 일산요진와이시티)",T.031-849-6697,126.7926275,37.64254741
백마역경의선,"경기 고양시 일산동구 경의로 318 (백석동, 백마역)",T.031-901-7788,126.7944562,37.65832363
풍산역경의선,"경기 고양시 일산동구 경의로 486 (풍동, 풍산역)",T.031-907-9154,126.7864514,37.6723136
코스트코일산점,"경기 고양시 일산동구 장백로 25 (백석동, 코스트코 일산점)",T.010-5253-2931,126.7883309,37.6405363
고양종합터미널백석,"경기 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",T.031-936-7312,126.7896617,37.64317854
일산뉴코아아울렛,"경기 고양시 일산동구 중앙로 1206 (마두동, 뉴코아백화점일산점)",T.010-2035-9193,126.7768361,37.65458116
일산동구보건소,"경기 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",T.031-8075-4104,126.7761487,37.65598085
일산동구청,"경기 고양시 일산동구 중앙로 1256 (마두동, 일산동구청)",T.031-8075-6044,126.7749578,37.65888247
일산롯데백화점,"경기 고양시 일산동구 중앙로 1283 (장항동, 롯데백화점일산점)",T.031-909-2781,126.7721263,37.66047281
일산호수공원,"경기 고양시 일산동구 호수로 595 (장항동, 고양꽃전시관)",T.031-8075-4347,126.7687531,37.65494261
가좌보건지소,"경기 고양시 일산서구 가좌3로 16 (가좌동, 가좌도서관및보건지소)",T.031-8075-4782,126.7203001,37.68616611
일산역,"경기 고양시 일산서구 경의로 672 (일산동, 일산역)",T.031-976-7788,126.7694778,37.68213999
탄현역,"경기 고양시 일산서구 경의로 856 (덕이동, 탄현역사)",T.031-911-1271,126.7610388,37.69392289
빅마켓킨텍스점,"경기 고양시 일산서구 주엽로 79 (대화동, 롯데마트빅마켓일산킨텍스점)",T.031-8071-8323,126.75347,37.667562
이마트트레이더스킨텍스점,"경기 고양시 일산서구 킨텍스로 171 (대화동, 이마트타운)",T.031-936-1123,126.7440653,37.66158295
현대모터스튜디오 4층,"경기 고양시 일산서구 킨텍스로 217-6 (대화동, 현대모터스튜디오고양)",T.010-2063-9261,126.7476849,37.66620617
킨텍스제1전시장,"경기 고양시 일산서구 킨텍스로 217-60 (대화동, 킨텍스)",T.031-995-8124,126.7458028,37.66893308
아쿠아플라넷 1층,"경기 고양시 일산서구 한류월드로 282 (대화동, 아쿠아플라넷 일산)",T.031-960-8500,126.7556101,37.66383757
현대백화점킨텍스점,경기 고양시 일산서구 호수로 817 (대화동),T.031-822-2233,126.7505121,37.66757732
과천시청,"경기 과천시 관문로 69 (중앙동, 과천시청)",T.02-3677-2486,126.9876826,37.42955562
과천문원도서관,경기 과천시 문원로 104 (문원동),T.031-2150-3083,127.0074135,37.4249557
과천정보과학도서관,"경기 과천시 중앙로 24 (갈현동, 과천시정보과학도서관)",T.02-2150-3041,126.989717,37.41874349
KTX 광명역,"경기 광명시 광명역로 21 (일직동, 고속철도 광명역)",T.02-899-9272,126.884877,37.41636394
KTX 광명역 2,경기 광명시 광명역로22,T.02-899-9272,126.884759,37.416606
소하도서관,"경기 광명시 소하일로 7 (소하동, 소하도서관)",T.02-2680-0926,126.8879923,37.4454581
광명시청,"경기 광명시 시청로 20 (철산동, 광명시청)",T.02-2680-2703,126.8646648,37.47788647
광명시보건소,"경기 광명시 오리로 613 (하안동, 광명시보건소)",T.02-2680-5523,126.8784253,37.45580203
광명도서관,"경기 광명시 원광명안로 48 (광명동, 광명시광명도서관)",T.02-2680-5424,126.8514136,37.46529806
 롯데아울렛광명역,"경기 광명시 일직로 17 (일직동, 롯데아울렛)",T.02-6226-2532,126.8844441,37.42420925
광명하안도서관,"경기 광명시 철망산로 46 (하안동, 광명시하안도서관)",T.02-2680-5460,126.8737109,37.46785652
철산도서관,"경기 광명시 철산로 56 (철산동, 광명시철산도서관,철산3동주민센터)",T.02-2680-2912,126.8725728,37.4770161
곤지암역,"경기 광주시 곤지암읍 곤지암천로 333 (곤지암리, 곤지암역사)",T.031-761-8912,127.3461733,37.35055334
이마트 경기광주점,"경기 광주시 광주대로 30 (경안동, 광주종합터미널)",T.031-8026-1234,127.2612209,37.40963665
경기광주역,"경기 광주시 광주역로 10 (역동, 경기광주역사)",T.070-7821-5651,127.2532678,37.39890401
곤지암리조트,경기 광주시 도척면 도척윗로 278 (도웅리),T.031-8026-5766,127.2894231,37.34076483
광주시립중앙도서관,"경기 광주시 문화로 82 (경안동, 시립도서관)",T.031-760-5673,127.2531305,37.41063634
삼동역,경기 광주시 순암로449번길 7-5 (중대동),T.031-761-7144,127.2047704,37.40801514
능평도서관,"경기 광주시 오포읍 창뜰아랫길 6 (능평리, 능평리복합문화시설)",T.031-760-5926,127.1668629,37.35028235
초월역,경기 광주시 초월읍 경충대로 1078 (쌍동리),T.031-701-5157,127.2988652,37.37416295
초월도서관,"경기 광주시 초월읍 무들로 3-26 (대쌍령리, 초월 공공 도서관)",T.031-760-5920,127.2910677,37.38738174
광주시청,"경기 광주시 행정타운로 50 (송정동, 광주시청)",T.031-760-2987,127.2550691,37.4292876
구리역,"경기 구리시 건원대로34번길 32-29 (인창동, 구리역사)",T.031-552-7784,127.1436113,37.60333383
구리시보건소,"경기 구리시 건원대로34번길 84 (인창동, 구리보건소)",T.031-550-8666,127.1450803,37.6047376
롯데아울렛구리점,"경기 구리시 동구릉로136번길 47 (인창동, 구리 복합몰(롯데아울렛 구리점))",T.031-3182-9458,127.1405447,37.61186145
롯데마트구리점,"경기 구리시 동구릉로136번길 57 (인창동, 구리유통종합상가)",T.031-550-9615,127.1409181,37.61313907
군포시평생학습원,"경기 군포시 고산로 263 (당동, 군포시평생학습원, 군포2동주민센터)",T.031-390-3050,126.9494536,37.36057369
산본도서관,"경기 군포시 광정로 96 (산본동, 산본도서관)",T.031-390-8851,126.9287047,37.36158108
군포시보건소,"경기 군포시 군포로 221 (부곡동, 군포시보건소)",T.031-390-8917,126.9259638,37.33316881
지샘병원,"경기 군포시 군포로 591 (당동, G샘병원)",T.031-396-3235,126.9473163,37.35867135
당정역,"경기 군포시 당정역로 91 (당정동, 당정역)",T.031-457-0998,126.948347,37.34445457
군포시대야도서관,"경기 군포시 대야2로 139 (대야미동, 대야동복합센터)",T.031-390-8667,126.9153441,37.33028305
뉴코아아울렛산본점,"경기 군포시 번영로 504 (산본동, 산본역)",T.010-4876-8311,126.9331751,37.35810525
원광대학교의과대학산본병원,"경기 군포시 산본로 321 (산본동, 원광대학교의과대학산본병원)",T.031-390-2351,126.9336043,37.3594143
이마트 산본점,"경기 군포시 산본로 347 (산본동, 이마트백화점)",T.031-450-1052,126.9314179,37.3610883
산본제일병원,"경기 군포시 산본로 374 (산본동, 산본제일병원)",T.010-7388-4676,126.931136,37.36364685
산본보건지소,"경기 군포시 산본천로 101 (산본동, 군포시 늘푸른 노인복지관)",T.031-390-8928,126.9331041,37.36397737
이마트트레이더스 군포점,"경기 군포시 삼성로 74 (부곡동, 트레이더스 군포점)",T.010-3099-6282,126.9346495,37.34012188
부곡도서관,"경기 군포시 송부로221번길 3-10 (부곡동, 군포부곡도서관)",T.031-390-4092,126.9356584,37.32410132
군포시청,"경기 군포시 청백리길 6 (금정동, 군포시청)",T.031-390-0561,126.935308,37.36101112
걸포중앙공원,"경기 김포시 걸포로 76 (걸포동, 걸포중앙공원)",T.031-980-5634,126.7051511,37.6375491
이마트트레이더스김포점,"경기 김포시 김포대로 715 (풍무동, 트레이더스 김포점)",T.031-8048-5650,126.7308545,37.61247674
롯데마트김포한강점,"경기 김포시 김포한강2로 41 (장기동, e편한세상 캐널시티)",T.031-8049-2521,126.6774965,37.64015256
이마트김포한강점,"경기 김포시 김포한강7로 71 (구래동, 이마트 김포한강점)",T.031-990-7123,126.6282861,37.64433959
김포생활체육관,"경기 김포시 김포한강8로 198-3 (마산동, 김포생활체육관)",T.031-996-8020,126.6449049,37.64035346
김포문화재단김포아트홀,"경기 김포시 돌문로 26 (사우동, 김포아트홀)",T.031-996-1603,126.7201494,37.61893101
김포종합운동장,경기 김포시 돌문로15번길 20 (사우동),T.031-980-2599,126.7192659,37.61761256
중봉도서관,경기 김포시 봉화로130번길 26 (북변동),T.031-980-5195,126.70693,37.62580447
김포시보건소,"경기 김포시 사우중로 108 (사우동, 김포보건소)",T.031-980-5482,126.7225293,37.62338575
현대프리미엄아울렛김포점,"경기 김포시 고촌읍 아라육로152번길 100 (전호리, 현대프리미엄아울렛)",T.031-8048-2623,126.7852333,37.59723569
양곡도서관,"경기 김포시 양촌읍 양곡4로197번길 40 (양곡리, 양곡도서관)",T.031-980-5412,126.6314378,37.66162422
김포고촌도서관,"경기 김포시 고촌읍 장차로 14 (신곡리, 고촌읍행정복지센터)",T.031-980-5880,126.770949,37.60330559
홈플러스김포점,경기 김포시 중봉로 14 (감정동),T.031-999-8124,126.6980129,37.62390098
김포통진도서관,"경기 김포시 통진읍 조강로 132 (서암리, 김포시통진도서관)",T.031-996-0753,126.5920346,37.69395375
홈플러스풍무점,경기 김포시 풍무로 167 (풍무동),T.031-999-0121,126.7241221,37.60996411
풍무동행정복지센터,"경기 김포시 풍무로 74 (풍무동, 풍무동행정복지센터)",T.031-980-5384,126.7220338,37.60214602
태산패밀리파크,"경기 김포시 하성면 하성로 585 (석탄리, 태산패밀리파크)",T.031-980-5582,126.6287206,37.72593404
양정역,"경기 남양주시 경강로 237 (이패동, 양정역)",T.031-559-7786,127.1946071,37.60401086
평내호평역,"경기 남양주시 경춘로 1375 (평내동, 평내호평역)",T.031-591-7788,127.2444343,37.65323345
도농역,"경기 남양주시 경춘로 433 (다산동, 도농역)",T.010-3535-4934,127.1611528,37.6088263
별내역,"경기 남양주시 경춘북로 375 (별내동, 별내역사)",T.031-582-7741,127.1274834,37.64228397
홈플러스진접점,"경기 남양주시 진접읍 금강로 1447 (장현리, 홈플러스)",T.010-4177-8393,127.1892111,37.72138933
이마트진접점,"경기 남양주시 진접읍 금강로유연들1길 154 (연평리, 진접이마트)",T.031-522-1052,127.1820311,37.70883151
금곡역,경기 남양주시 금곡로19번길 47,T.031-591-9109,127.2079361,37.63742934
이마트남양주점,"경기 남양주시 늘을2로 27 (호평동, 남양주 호평이마트)",T.031-590-1051,127.2430528,37.65504665
다산건강생활지원센터,"경기 남양주시 다산중앙로 7 (다산동, 다산행정복지센터)",T.031-590-8580,127.1555486,37.61392737
이마트다산점,"경기 남양주시 도농로 24 (다산동, 부영애시앙)",T.010-9254-7609,127.1583467,37.60848236
별내건강생활지원센터,"경기 남양주시 별내3로 64-21 (별내동, 별내동 주민센터)",T.031-590-8188,127.121882,37.64616561
별빛도서관,"경기 남양주시 별내중앙로 102 (별내동, 별빛도서관)",T.031-590-5342,127.1208639,37.65118956
이마트별내점,"경기 남양주시 순화궁로 167 (별내동, 이마트)",T.031-550-1252,127.1259682,37.64280988
도심역,"경기 남양주시 와부읍 덕소로 237 (도곡리, 도심역)",T.031-521-8675,127.2226544,37.57963207
덕소역,"경기 남양주시 와부읍 덕소로 56 (덕소리, 덕소역)",T.031-577-7788,127.2088189,37.58689753
와부건강생활지원센터,"경기 남양주시 와부읍 월문천로 35 (덕소리, 와부조안행정복지센터)",T.031-590-3936,127.217114,37.58546653
와부도서관,"경기 남양주시 와부읍 월문천로 43 (덕소리, 와부도서관)",T.031-590-8916,127.2174969,37.58568377
팔당역,"경기 남양주시 와부읍 팔당로 107 (팔당리, 팔당역)",T.031-576-2888,127.2438313,37.54688981
평내도서관,"경기 남양주시 의안로 134 (평내동, 평내도서관)",T.031-590-8553,127.2388912,37.64174381
운길산역,"경기 남양주시 조안면 운길산로 20 (진중리, 운길산역)",T.031-577-7196,127.3098503,37.55480348
사릉역,"경기 남양주시 진건읍 진건우회로 63 (사능리, 사릉역)",T.031-585-8862,127.176934,37.65152661
남양주풍양보건소,경기 남양주시 진접읍 해밀예당1로 30-39 (금곡리),T.031-590-6992,127.1895189,37.71067901
호평도서관,"경기 남양주시 천마산로 67 (호평동, 호평도서관)",T.031-590-8333,127.2480076,37.66764906
퇴계원역,"경기 남양주시 퇴계원면 경춘북로 545 (퇴계원리, 퇴계원역)",T.031-571-7788,127.1448111,37.64836178
남양주어린이비전센터,경기 남양주시 진접읍 해밀예당1로 96 (금곡리),T.031-560-1553,127.1910474,37.71708806
진접푸른숲도서관,"경기 남양주시 진접읍 해밀예당2로 35 (금곡리, 진접푸른숲도서관)",T.031-590-5325,127.1929232,37.71568914
남양주장애인복지관,"경기 남양주시 홍유릉로 273-1 (금곡동, 남양주시장애인복지관)",T.031-592-7150,127.2001734,37.62707813
마석역,"경기 남양주시 화도읍 마석중앙로 107 (마석우리, 마석역)",T.031-593-7788,127.31185,37.65235632
천마산역,"경기 남양주시 화도읍 묵현로25번길 37 (묵현리, 천마산역)",T.031-592-7798,127.2857497,37.65901779
동두천중앙역,"경기 동두천시 동두천로 228 (생연동, 동두천중앙역)",T.031-865-2788,127.0562385,37.90180533
동두천시보건소,"경기 동두천시 중앙로 167 (생연동, 동두천시보건소)",T.031-860-3398,127.0517173,37.89661249
지행역,"경기 동두천시 평화로 2285 (지행동, 지행역)",T.031-862-2788,127.0556641,37.89187644
보산역,"경기 동두천시 평화로 2539 (보산동, 보산역)",T.031-866-4987,127.057237,37.91431802
동두천역,경기 동두천시 평화로 2687,T.031-862-7788,127.0548768,37.92782513
소요산역,"경기 동두천시 평화로 2925 (상봉암동, 소요산역)",T.031-865-7788,127.0612131,37.94795334
롯데마트동두천점,경기 동두천시 평화로2169번길 21 (송내동),T.031-830-2500,127.0539269,37.88043471
경기북부어린이박물관,"경기 동두천시 평화로2910번길 46 (상봉암동, 경기도북부어린이박물관)",T.031-860-2863,127.064452,37.9446735
부천시아이러브맘카페,경기 부천시 고리울로 79,T.032-681-6694,126.8248189,37.52706172
도당별육아나눔터,경기 부천시 평천로849번길 26-6 (도당동),T.074-457-5873,126.7858187,37.51606908
삼평아이사랑놀이터,"경기 성남시 분당구 동판교로266번길 7 (삼평동, 삼평동 행정복지센터)",T.031-8017-1650,127.116247,37.40637
성남시구미도서관,"경기 성남시 분당구 미금일로 105 (구미동, 구미도서관)",T.031-729-4691,127.1076886,37.34553089
분당구청아이사랑놀이터,"경기 성남시 분당구 분당로 50 (수내동, 분당구청)",T.031-715-1640,127.1199515,37.38338282
이마트분당점,"경기 성남시 분당구 불정로 134 (정자동, 이마트)",T.031-710-1253,127.119758,37.35879703
성남분당구보건소,"경기 성남시 분당구 양현로 306 (야탑동, 분당보건소)",T.031-729-4337,127.1246778,37.41107127
판교도서관,"경기 성남시 분당구 운중로225번길 37 (판교동, 판교도서관)",T.031-729-4584,127.0908706,37.39189845
현대백화점판교점,"경기 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교점)",T.031-5170-2700,127.1120877,37.39279471
수내아이사랑놀이터,경기 성남시 분당구 황새울로240번길 10-5 (수내동),T.031-716-1670,127.1147025,37.37909888
ak플라자분당점,"경기 성남시 분당구 황새울로360번길 42 (서현동, AK플라자)",T.031-779-3958,127.1226929,37.38508502
성남수정구보건소,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",T.031-729-3886,127.1440617,37.44432879
성남수정구청,"경기 성남시 수정구 수정로 283 (신흥동, 수정구청)",T.031-729-5081,127.1459285,37.45076459
중앙동행정복지센터 3층,"경기 성남시 중원구 광명로264번길 1 (중앙동, 중앙동 행정복지센터)",T.031-729-6622,127.1562969,37.44285864
성남중원구보건소,"경기 성남시 중원구 금상로 137 (상대원동, 중원구보건소)",T.031-729-3908,127.1705808,37.44215676
이마트수원점,"경기 수원시 권선구 경수대로 270 (권선동, 터미널동, 할인점동)",T.031-207-1054,127.0201168,37.24977349
호매실아이러브맘카페,"경기 수원시 권선구 금곡로140번길 29 (금곡동, 수원호매실휴먼시아8단지아파트)",T.031-278-5176,126.9547123,37.28092367
홈플러스서수원점,"경기 수원시 권선구 금곡로 236 (금곡동, 홈플러스)",T.031-8019-1012,126.9559153,37.27440587
여성문화공간휴아이러브맘카페,경기 수원시 권선구 동수원로224번길 10 (권선동),T.031-233-8070,127.0343703,37.24929633
지혜샘도서관,"경기 수원시 권선구 동탄원천로 818 (권선동, 지혜샘도서관)",T.031-225-6150,127.0398301,37.24787093
서수원주민편익시설,"경기 수원시 권선구 매송고색로 620 (고색동, 서수원주민편익시설)",T.031-293-6003,126.9729266,37.24775428
하나로마트수원점,"경기 수원시 권선구 서부로 1937 (구운동, 농협하나로클럽)",T.031-229-9006,126.9667013,37.28301022
롯데몰수원점1층,"경기 수원시 권선구 세화로 134 (서둔동, 롯데몰 수원점)",T.031-8066-2303,126.9972939,37.26417773
호매실도서관,"경기 수원시 권선구 칠보로 169 (호매실동, 호매실도서관)",T.031-228-4799,126.9579289,37.26641183
서수원도서관,"경기 수원시 권선구 탑동로57번길 35 (탑동, 서수원도서관)",T.031-228-4602,126.9720681,37.27311898
권선구보건소,"경기 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소)",T.031-228-6511,126.9711296,37.25874327
수원시기후변화체험교육관,"경기 수원시 권선구 호매실로 46-38 (탑동, 기후변화체험관)",T.031-273-8320,126.9686479,37.25784203
이마트서수원점,"경기 수원시 권선구 수인로 291 (구운동, 서수원버스터미널)",T.003-1895-1052,126.9715738,37.28251828
