name,address,tel
빅마켓킨텍스점,"경기 고양시 일산서구 주엽로 79 (대화동, 롯데마트빅마켓일산킨텍스점)",T.031-8071-8323

이마트트레이더스킨텍스점,"경기 고양시 일산서구 킨텍스로 171 (대화동, 이마트타운)",T.031-936-1123

현대모터스튜디오 4층,"경기 고양시 일산서구 킨텍스로 217-6 (대화동, 현대모터스튜디오고양)",T.010-2063-9261

킨텍스제1전시장,"경기 고양시 일산서구 킨텍스로 217-60 (대화동, 킨텍스)",T.031-995-8124

아쿠아플라넷 1층,"경기 고양시 일산서구 한류월드로 282 (대화동, 아쿠아플라넷 일산)",T.031-960-8500

현대백화점킨텍스점,경기 고양시 일산서구 호수로 817 (대화동),T.031-822-2233

과천시청,"경기 과천시 관문로 69 (중앙동, 과천시청)",T.02-3677-2486

과천문원도서관,경기 과천시 문원로 104 (문원동),T.031-2150-3083

과천정보과학도서관,"경기 과천시 중앙로 24 (갈현동, 과천시정보과학도서관)",T.02-2150-3041

KTX 광명역,"경기 광명시 광명역로 21 (일직동, 고속철도 광명역)",T.02-899-9272

KTX 광명역 2,경기 광명시 광명역로22,T.02-899-9272

소하도서관,"경기 광명시 소하일로 7 (소하동, 소하도서관)",T.02-2680-0926

광명시청,"경기 광명시 시청로 20 (철산동, 광명시청)",T.02-2680-2703

광명시보건소,"경기 광명시 오리로 613 (하안동, 광명시보건소)",T.02-2680-5523

광명도서관,"경기 광명시 원광명안로 48 (광명동, 광명시광명도서관)",T.02-2680-5424

 롯데아울렛광명역,"경기 광명시 일직로 17 (일직동, 롯데아울렛)",T.02-6226-2532

광명하안도서관,"경기 광명시 철망산로 46 (하안동, 광명시하안도서관)",T.02-2680-5460

철산도서관,"경기 광명시 철산로 56 (철산동, 광명시철산도서관,철산3동주민센터)",T.02-2680-2912

곤지암역,"경기 광주시 곤지암읍 곤지암천로 333 (곤지암리, 곤지암역사)",T.031-761-8912

이마트 경기광주점,"경기 광주시 광주대로 30 (경안동, 광주종합터미널)",T.031-8026-1234

경기광주역,"경기 광주시 광주역로 10 (역동, 경기광주역사)",T.070-7821-5651

곤지암리조트,경기 광주시 도척면 도척윗로 278 (도웅리),T.031-8026-5766

광주시립중앙도서관,"경기 광주시 문화로 82 (경안동, 시립도서관)",T.031-760-5673

삼동역,경기 광주시 순암로449번길 7-5 (중대동),T.031-761-7144

능평도서관,"경기 광주시 오포읍 창뜰아랫길 6 (능평리, 능평리복합문화시설)",T.031-760-5926

초월역,경기 광주시 초월읍 경충대로 1078 (쌍동리),T.031-701-5157

초월도서관,"경기 광주시 초월읍 무들로 3-26 (대쌍령리, 초월 공공 도서관)",T.031-760-5920

광주시청,"경기 광주시 행정타운로 50 (송정동, 광주시청)",T.031-760-2987

구리역,"경기 구리시 건원대로34번길 32-29 (인창동, 구리역사)",T.031-552-7784

구리시보건소,"경기 구리시 건원대로34번길 84 (인창동, 구리보건소)",T.031-550-8666

롯데아울렛구리점,"경기 구리시 동구릉로136번길 47 (인창동, 구리 복합몰(롯데아울렛 구리점))",T.031-3182-9458

롯데마트구리점,"경기 구리시 동구릉로136번길 57 (인창동, 구리유통종합상가)",T.031-550-9615

군포시평생학습원,"경기 군포시 고산로 263 (당동, 군포시평생학습원, 군포2동주민센터)",T.031-390-3050

산본도서관,"경기 군포시 광정로 96 (산본동, 산본도서관)",T.031-390-8851

군포시보건소,"경기 군포시 군포로 221 (부곡동, 군포시보건소)",T.031-390-8917

지샘병원,"경기 군포시 군포로 591 (당동, G샘병원)",T.031-396-3235

당정역,"경기 군포시 당정역로 91 (당정동, 당정역)",T.031-457-0998

군포시대야도서관,"경기 군포시 대야2로 139 (대야미동, 대야동복합센터)",T.031-390-8667

뉴코아아울렛산본점,"경기 군포시 번영로 504 (산본동, 산본역)",T.010-4876-8311

원광대학교의과대학산본병원,"경기 군포시 산본로 321 (산본동, 원광대학교의과대학산본병원)",T.031-390-2351

이마트 산본점,"경기 군포시 산본로 347 (산본동, 이마트백화점)",T.031-450-1052

산본제일병원,"경기 군포시 산본로 374 (산본동, 산본제일병원)",T.010-7388-4676

산본보건지소,"경기 군포시 산본천로 101 (산본동, 군포시 늘푸른 노인복지관)",T.031-390-8928

이마트트레이더스 군포점,"경기 군포시 삼성로 74 (부곡동, 트레이더스 군포점)",T.010-3099-6282

부곡도서관,"경기 군포시 송부로221번길 3-10 (부곡동, 군포부곡도서관)",T.031-390-4092

군포시청,"경기 군포시 청백리길 6 (금정동, 군포시청)",T.031-390-0561

걸포중앙공원,"경기 김포시 걸포로 76 (걸포동, 걸포중앙공원)",T.031-980-5634

이마트트레이더스김포점,"경기 김포시 김포대로 715 (풍무동, 트레이더스 김포점)",T.031-8048-5650

롯데마트김포한강점,"경기 김포시 김포한강2로 41 (장기동, e편한세상 캐널시티)",T.031-8049-2521

이마트김포한강점,"경기 김포시 김포한강7로 71 (구래동, 이마트 김포한강점)",T.031-990-7123

김포생활체육관,"경기 김포시 김포한강8로 198-3 (마산동, 김포생활체육관)",T.031-996-8020

김포문화재단김포아트홀,"경기 김포시 돌문로 26 (사우동, 김포아트홀)",T.031-996-1603

김포종합운동장,경기 김포시 돌문로15번길 20 (사우동),T.031-980-2599

중봉도서관,경기 김포시 봉화로130번길 26 (북변동),T.031-980-5195

김포시보건소,"경기 김포시 사우중로 108 (사우동, 김포보건소)",T.031-980-5482

현대프리미엄아울렛김포점,"경기 김포시 고촌읍 아라육로152번길 100 (전호리, 현대프리미엄아울렛)",T.031-8048-2623

양곡도서관,"경기 김포시 양촌읍 양곡4로197번길 40 (양곡리, 양곡도서관)",T.031-980-5412

김포고촌도서관,"경기 김포시 고촌읍 장차로 14 (신곡리, 고촌읍행정복지센터)",T.031-980-5880

홈플러스김포점,경기 김포시 중봉로 14 (감정동),T.031-999-8124

김포통진도서관,"경기 김포시 통진읍 조강로 132 (서암리, 김포시통진도서관)",T.031-996-0753

홈플러스풍무점,경기 김포시 풍무로 167 (풍무동),T.031-999-0121

풍무동행정복지센터,"경기 김포시 풍무로 74 (풍무동, 풍무동행정복지센터)",T.031-980-5384

태산패밀리파크,"경기 김포시 하성면 하성로 585 (석탄리, 태산패밀리파크)",T.031-980-5582

양정역,"경기 남양주시 경강로 237 (이패동, 양정역)",T.031-559-7786

평내호평역,"경기 남양주시 경춘로 1375 (평내동, 평내호평역)",T.031-591-7788

도농역,"경기 남양주시 경춘로 433 (다산동, 도농역)",T.010-3535-4934

별내역,"경기 남양주시 경춘북로 375 (별내동, 별내역사)",T.031-582-7741

홈플러스진접점,"경기 남양주시 진접읍 금강로 1447 (장현리, 홈플러스)",T.010-4177-8393

이마트진접점,"경기 남양주시 진접읍 금강로유연들1길 154 (연평리, 진접이마트)",T.031-522-1052

금곡역,경기 남양주시 금곡로19번길 47,T.031-591-9109

이마트남양주점,"경기 남양주시 늘을2로 27 (호평동, 남양주 호평이마트)",T.031-590-1051

다산건강생활지원센터,"경기 남양주시 다산중앙로 7 (다산동, 다산행정복지센터)",T.031-590-8580

이마트다산점,"경기 남양주시 도농로 24 (다산동, 부영애시앙)",T.010-9254-7609

별내건강생활지원센터,"경기 남양주시 별내3로 64-21 (별내동, 별내동 주민센터)",T.031-590-8188

별빛도서관,"경기 남양주시 별내중앙로 102 (별내동, 별빛도서관)",T.031-590-5342

이마트별내점,"경기 남양주시 순화궁로 167 (별내동, 이마트)",T.031-550-1252

도심역,"경기 남양주시 와부읍 덕소로 237 (도곡리, 도심역)",T.031-521-8675

덕소역,"경기 남양주시 와부읍 덕소로 56 (덕소리, 덕소역)",T.031-577-7788

와부건강생활지원센터,"경기 남양주시 와부읍 월문천로 35 (덕소리, 와부조안행정복지센터)",T.031-590-3936

와부도서관,"경기 남양주시 와부읍 월문천로 43 (덕소리, 와부도서관)",T.031-590-8916

팔당역,"경기 남양주시 와부읍 팔당로 107 (팔당리, 팔당역)",T.031-576-2888

평내도서관,"경기 남양주시 의안로 134 (평내동, 평내도서관)",T.031-590-8553

운길산역,"경기 남양주시 조안면 운길산로 20 (진중리, 운길산역)",T.031-577-7196

사릉역,"경기 남양주시 진건읍 진건우회로 63 (사능리, 사릉역)",T.031-585-8862

남양주풍양보건소,경기 남양주시 진접읍 해밀예당1로 30-39 (금곡리),T.031-590-6992

호평도서관,"경기 남양주시 천마산로 67 (호평동, 호평도서관)",T.031-590-8333

퇴계원역,"경기 남양주시 퇴계원면 경춘북로 545 (퇴계원리, 퇴계원역)",T.031-571-7788

남양주어린이비전센터,경기 남양주시 진접읍 해밀예당1로 96 (금곡리),T.031-560-1553

진접푸른숲도서관,"경기 남양주시 진접읍 해밀예당2로 35 (금곡리, 진접푸른숲도서관)",T.031-590-5325

남양주장애인복지관,"경기 남양주시 홍유릉로 273-1 (금곡동, 남양주시장애인복지관)",T.031-592-7150

마석역,"경기 남양주시 화도읍 마석중앙로 107 (마석우리, 마석역)",T.031-593-7788

천마산역,"경기 남양주시 화도읍 묵현로25번길 37 (묵현리, 천마산역)",T.031-592-7798

동두천중앙역,"경기 동두천시 동두천로 228 (생연동, 동두천중앙역)",T.031-865-2788

동두천시보건소,"경기 동두천시 중앙로 167 (생연동, 동두천시보건소)",T.031-860-3398

지행역,"경기 동두천시 평화로 2285 (지행동, 지행역)",T.031-862-2788

보산역,"경기 동두천시 평화로 2539 (보산동, 보산역)",T.031-866-4987

동두천역,경기 동두천시 평화로 2687,T.031-862-7788

소요산역,"경기 동두천시 평화로 2925 (상봉암동, 소요산역)",T.031-865-7788

롯데마트동두천점,경기 동두천시 평화로2169번길 21 (송내동),T.031-830-2500

경기북부어린이박물관,"경기 동두천시 평화로2910번길 46 (상봉암동, 경기도북부어린이박물관)",T.031-860-2863

부천시아이러브맘카페,경기 부천시 고리울로 79,T.032-681-6694

도당별육아나눔터,경기 부천시 평천로849번길 26-6 (도당동),T.074-457-5873

삼평아이사랑놀이터,"경기 성남시 분당구 동판교로266번길 7 (삼평동, 삼평동 행정복지센터)",T.031-8017-1650

성남시구미도서관,"경기 성남시 분당구 미금일로 105 (구미동, 구미도서관)",T.031-729-4691

분당구청아이사랑놀이터,"경기 성남시 분당구 분당로 50 (수내동, 분당구청)",T.031-715-1640

이마트분당점,"경기 성남시 분당구 불정로 134 (정자동, 이마트)",T.031-710-1253

성남분당구보건소,"경기 성남시 분당구 양현로 306 (야탑동, 분당보건소)",T.031-729-4337

판교도서관,"경기 성남시 분당구 운중로225번길 37 (판교동, 판교도서관)",T.031-729-4584

현대백화점판교점,"경기 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교점)",T.031-5170-2700

수내아이사랑놀이터,경기 성남시 분당구 황새울로240번길 10-5 (수내동),T.031-716-1670

ak플라자분당점,"경기 성남시 분당구 황새울로360번길 42 (서현동, AK플라자)",T.031-779-3958

성남수정구보건소,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",T.031-729-3886

성남수정구청,"경기 성남시 수정구 수정로 283 (신흥동, 수정구청)",T.031-729-5081

중앙동행정복지센터 3층,"경기 성남시 중원구 광명로264번길 1 (중앙동, 중앙동 행정복지센터)",T.031-729-6622

성남중원구보건소,"경기 성남시 중원구 금상로 137 (상대원동, 중원구보건소)",T.031-729-3908

이마트수원점,"경기 수원시 권선구 경수대로 270 (권선동, 터미널동, 할인점동)",T.031-207-1054

호매실아이러브맘카페,"경기 수원시 권선구 금곡로140번길 29 (금곡동, 수원호매실휴먼시아8단지아파트)",T.031-278-5176

홈플러스서수원점,"경기 수원시 권선구 금곡로 236 (금곡동, 홈플러스)",T.031-8019-1012

여성문화공간휴아이러브맘카페,경기 수원시 권선구 동수원로224번길 10 (권선동),T.031-233-8070

지혜샘도서관,"경기 수원시 권선구 동탄원천로 818 (권선동, 지혜샘도서관)",T.031-225-6150

서수원주민편익시설,"경기 수원시 권선구 매송고색로 620 (고색동, 서수원주민편익시설)",T.031-293-6003

하나로마트수원점,"경기 수원시 권선구 서부로 1937 (구운동, 농협하나로클럽)",T.031-229-9006

롯데몰수원점1층,"경기 수원시 권선구 세화로 134 (서둔동, 롯데몰 수원점)",T.031-8066-2303

호매실도서관,"경기 수원시 권선구 칠보로 169 (호매실동, 호매실도서관)",T.031-228-4799

서수원도서관,"경기 수원시 권선구 탑동로57번길 35 (탑동, 서수원도서관)",T.031-228-4602

권선구보건소,"경기 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소)",T.031-228-6511

수원시기후변화체험교육관,"경기 수원시 권선구 호매실로 46-38 (탑동, 기후변화체험관)",T.031-273-8320

이마트서수원점,"경기 수원시 권선구 수인로 291 (구운동, 서수원버스터미널)",T.003-1895-1052

수원광교박물관,"경기 수원시 영통구 광교로 182 (이의동, 수원광교박물관)",T.031-228-4224

이마트광교점,경기 수원시 영통구 광교로 191 (이의동),T.031-328-9152

광교호수공원,"경기 수원시 영통구 광교호수로 57 (하동, 광교호수공원시설 다목적체험장)",T.070-8800-2460

광교역신분당선,경기 수원시 영통구 대학로 55 (이의동),T.031-8018-7830

광교홍재도서관,경기 수원시 영통구 대학로 88 (이의동),T.031-228-4801

망포역,"경기 수원시 영통구 덕영대로 지하 1520 (영통동, 망포역)",T.031-203-7720

롯데아울렛,경기 수원시 영통구 도청로 10,T.031-8064-2540

광교중앙역신분당선,경기 수원시 영통구 도청로 지하 45 (이의동),T.031-898-7820

바른샘도서관,"경기 수원시 영통구 매봉로 10 (매탄동, 바른샘도서관)",T.031-216-9373

청명역,"경기 수원시 영통구 봉영로 지하 1670 (영통동, 청명역)",T.031-203-5250

홈플러스 영통점,"경기 수원시 영통구 봉영로 1576 (영통동, 영통홈플러스)",T.010-4009-0675

롯데마트 영통점,"경기 수원시 영통구 봉영로 1579 (영통동, 롯데마트 영통점)",T.031-290-4023

영통역,"경기 수원시 영통구 봉영로 지하 1560 (영통동, 영통역)",T.031-203-1165

동부육아종합지원센터,"경기 수원시 영통구 봉영로1759번길 29 (영통동, 수원시동부육아종합지원센터)",T.031-273-3325

영통구보건소,경기 수원시 영통구 영통로 396,T.031-228-8899

홈플러스 원천점,"경기 수원시 영통구 중부대로 437 (원천동, 홈플러스테스코주식회사)",T.031-252-2080

수원박물관,"경기 수원시 영통구 창룡대로 265 (이의동, 수원박물관)",T.031-228-4162

수원 KT 위즈파크 5층,"경기 수원시 장안구 경수대로 893 (조원동, 수원종합운동장(야구장))",T.010-7393-7517

홈플러스북수원점,"경기 수원시 장안구 경수대로 930 (조원동, 삼성홈플러스)",T.031-259-8120

롯데마트천천점,"경기 수원시 장안구 만석로19번길 25-10 (천천동, 롯데마트)",T.031-240-2521

성균관대학교역 ,"경기 수원시 장안구 서부로 2149 (율전동, 성대역사)",T.031-278-7437

장안구민회관,"경기 수원시 장안구 송원로 101 (조원동, 장안구민회관)",T.031-240-3025

슬기샘도서관,경기 수원시 장안구 송정로 9,T.031-247-7656

수원시육아종합지원센터 아이러브맘카페,경기 수원시 장안구 송정로24번길 47,T.031-241-5681

대추골도서관,경기 수원시 장안구 수일로 164 (조원동),T.031-228-4818

수원시환경성질환아토피센터,경기 수원시 장안구 수일로233번길 144,T.031-247-2900

SK아트리움아이러브맘카페,"경기 수원시 장안구 이목로 24-25 (정자동, 수원SK아트리움 화장실)",T.031-268-0202

일월도서관,"경기 수원시 장안구 일월천로 77 (천천동, 일월도서관)",T.031-228-3656

화장실문화전시관 해우재,경기 수원시 장안구 장안로458번길 9,T.070-4271-5688

파장동행정복지센터 아이러브맘카페,"경기 수원시 장안구 파장천로 60 (파장동, 파장동 주민자치센터)",T.031-246-1600

인구보건복지협회 경기지회 가족보건의원,"경기 수원시 팔달구 고화로14번길 11 (매산로3가, 모자보건센타)",T.031-256-4645

국민건강보험공단수원동부지사,"경기 수원시 팔달구 권광로 178 (인계동, 한국교직원공제회 경기회관)",T.031-230-9115

AK플라자수원점,"경기 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자)",T.031-240-1514

수원시가족여성회관아이러브맘카페,"경기 수원시 팔달구 매산로 119 (교동, 가족여성회관)",T.031-259-9856

수원역(분당선),"경기 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자)",T.031-2532-7738

행궁아해꿈누리아이러브맘카페,"경기 수원시 팔달구 신풍로23번길 32 (신풍동, 행궁 아해 꿈 누리)",T.031-241-4904

뉴코아아울렛동수원점,"경기 수원시 팔달구 인계로 154 (인계동, 동수원뉴코아아울렛)",T.031-231-6501

수원시립아이파크미술관,경기 수원시 팔달구 정조로 833 (신풍동),T.031-228-3667

2001아울렛남문점,"경기 수원시 팔달구 중부대로34번길 15 (인계동, 2001아울렛)",T.031-230-7022

수원화성박물관,"경기 수원시 팔달구 창룡대로 21 (매향동, 수원화성박물관)",T.031-228-4213

팔달구보건소,"경기 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소)",T.031-228-7734

화서다산도서관,경기 수원시 팔달구 화양로68번길 7-35 (화서동),T.031-228-3544

경기도청,"경기 수원시 팔달구 효원로 1 (매산로3가, 경기도청)",T.031-8008-2991

수원시청,"경기 수원시 팔달구 효원로 241 (인계동, 수원시청)",T.031-228-3131

홈플러스 동수원점,"경기 수원시 팔달구 효원로 257 (인계동, 홈플러스동수원점)",T.031-231-8128

갤러리아 수원점,"경기 수원시 팔달구 효원로 282 (인계동, 갤러리아백화점)",T.010-3615-5471

롯데마트시화점,"경기 시흥시 마유로238번길 26 (정왕동, 롯데마트시화점)",T.031-496-7709

매화동행정복지센터,경기 시흥시 매화로 20 (매화동),T.031-310-4429

